id,title,type,unit,price,promoted_price,note,desc,ingredients,thumbnail,images
0,Original Pizzarino,pizza,piece,10,6,some random note,"Pizza originated from Italy, with Singapore flavors…..","carbohydrate:10g,pine apple:15g",pizza_1_tn.jpg,pizza_1.jpg
1,Tomato delight,pizza,piece,8,6,,Pizza with  hearty fill of tomatoes catered to tomato lovers.,,pizza_2_tn.jpg,pizza_2.jpg
2,Peppereno pizza,pizza,piece,8,6,,"This traditional pepper dish you can order today and in the office and at home. Hot pizza fit for a snack at lunchtime, and treats for friends. And if you believe one online survey, almost 80 % of Internet users called pizza favorite meal.",,pizza_3_tn.jpg,pizza_3.jpg
3,Mexican pizza,pizza,piece,7,0,,"This mexican dish you can order today and in the office and at home. Hot pizza fit for a snack at lunchtime, and treats for friends. And if you believe one online survey, almost 80 % of Internet users called pizza favorite meal.",,pizza_4_tn.jpg,pizza_4.jpg
4,One of a kind,pizza,piece,7,0,,"This exotic dish you can order today and in the office and at home. Hot pizza fit for a snack at lunchtime, and treats for friends. And if you believe one online survey, almost 80 % of Internet users called pizza favorite meal.",,pizza_5_tn.jpg,pizza_5.jpg
5,Cool kidz,pizza,piece,6,0,,"This unique dish you can order today and in the office and at home. Hot pizza fit for a snack at lunchtime, and treats for friends. And if you believe one online survey, almost 80 % of Internet users called pizza favorite meal.",,pizza_6_tn.jpg,pizza_6.jpg
6,Cheesy mozzarella,pizza,piece,7,0,,"Cheesy mozzerella pizza you can order today and in the office and at home. Hot pizza fit for a snack at lunchtime, and treats for friends. And if you believe one online survey, almost 80 % of Internet users called pizza favorite meal.",,pizza_7_tn.jpg,pizza_7.jpg
7,Thin crust,pizza,piece,8,0,,Known for our thin crust. Our restaurant serves it crisp and delicious. Order or take in now!,,pizza_8_tn.jpg,pizza_8.jpg
8,Spinach treat,pizza,piece,8,0,,"This spinach dish you can order today and in the office and at home. Hot pizza fit for a snack at lunchtime, and treats for friends. And if you believe one online survey, almost 80 % of Internet users called pizza favorite meal.",,pizza_9_tn.jpg,pizza_9.jpg
9,Fish delight,pasta,Plate,12,11,,,,pasta_1_tn.jpg,pasta_1.jpg
10,Lobster alfredo,pasta,Plate,11,15,,,,pasta_2_tn.jpg,pasta_2.jpg
11,Bolognese ,pasta,Plate,12,11,,,,pasta_3_tn.jpg,pasta_3.jpg
12,Beef delight,pasta,Plate,14,13,,,,pasta_4_tn.jpg,pasta_4.jpg
13,Bow tie farfalle,pasta,Plate,14,13,,"Interesting mix of strawberries and cheese with bow tie pasta. Served deliciously hot or cold.",,pasta_5_tn.jpg,pasta_5.jpg
14,Baked rice- chicken,pasta,Plate,12,0,,,,pasta_6_tn.jpg,pasta_6.jpg
15,Baked rice- ham,pasta,Plate,12,0,,,,pasta_7_tn.jpg,pasta_7.jpg
16,Shrooms delight,pasta,Plate,11,0,,,,pasta_8_tn.jpg,pasta_8.jpg
17,Soup pasta- tomato based,pasta,Plate,11,0,,,,pasta_9_tn.jpg,pasta_9.jpg
18,Sprite,Beverage,Bottle,2,0,,,,beverage_1_tn.jpg,beverage_1.jpg
19,Coca-cola,Beverage,Bottle,2,0,,,,beverage_2_tn.jpg,beverage_2.jpg
20,Root beer,Beverage,Bottle,2,0,,,,beverage_3.jpg,beverage_3.jpg
21,Orange fanta,Beverage,Bottle,2,0,,,,beverage_4.jpg,beverage_4.jpg
22,7-up,Beverage,Bottle,2,0,,,,beverage_5_tn.jpg,beverage_5.jpg
23,Corn soup,Beverage,Bowl,4,0,,,,soup_1_tn.jpg,soup_1.jpg
24,Mushroom soup,Beverage,Bowl,4,2,,,,soup_2_tn.jpg,soup_2.jpg
25,Green tea,Beverage,cup,2,0,,,,beverage_7_tn.jpg,beverage_7.jpg
26,Iced lemon tea,Beverage,cup,2,0,,,,beverage_8_tn.jpg,beverage_8.jpg
